osmid,highway,oneway,reversed,length,lanes,maxspeed,ref,name,bridge,access,junction,geometry_wkt
"[142920330, 117219260]",residential,False,"[False, True]",234.7012886689707,,60,,Jakkelsbessie Street,,,,"LINESTRING (575556.54121621 8032152.937858373, 575569.7304336118 8032204.115135528, 575583.7050609458 8032258.343147103, 575583.3272068372 8032262.106426736, 575580.8824108071 8032265.844376585, 575491.05222038 8032340.659290617)"
23948560,unclassified,False,True,16.05836317291018,,60,,Eliander Mwatale Street,,,,"LINESTRING (572812.5059972208 8034775.42306204, 572810.7411974395 8034759.54139566)"
23948560,unclassified,False,False,145.92380921096208,,60,,Eliander Mwatale Street,,,,"LINESTRING (572812.5059972208 8034775.42306204, 572815.7867071587 8034797.107860825, 572818.1640072506 8034806.559011445, 572822.8873808135 8034814.032155373, 572849.5196153921 8034832.433923053, 572904.9733876828 8034870.722995249, 572909.3943807292 8034873.771566067)"
651033003,residential,False,True,72.50269882712307,,60,,,,,,"LINESTRING (572812.5059972208 8034775.42306204, 572805.3876792206 8034779.742004016, 572751.9957061165 8034815.254090952)"
89503856,residential,False,False,91.34561728975142,,60,,,,,,"LINESTRING (573656.7240949688 8034095.641539684, 573728.3572549873 8034152.135358451)"
89503856,residential,False,True,92.97107859220638,,60,,,,,,"LINESTRING (573656.7240949688 8034095.641539684, 573583.8050656 8034038.156457967)"
89503841,residential,False,False,347.81182727393394,,60,,,,,,"LINESTRING (573656.7240949688 8034095.641539684, 573814.846653466 8033898.666022679, 573873.8912110579 8033825.113335449)"
89503878,residential,False,True,126.51516855975024,,,,,,,,"LINESTRING (575312.2998516725 8033558.513415648, 575399.3006702219 8033552.109413066, 575417.4311295655 8033553.335162578, 575428.3935023395 8033556.6792295715, 575436.8916386212 8033561.482054081)"
650704138,residential,False,False,42.22447990485103,2,60,,,,,,"LINESTRING (575312.2998516725 8033558.513415648, 575319.1141431949 8033532.951376925, 575322.656741184 8033525.148743288, 575326.0359866763 8033518.99529696)"
650704138,residential,False,True,67.64566444650177,2,60,,,,,,"LINESTRING (575312.2998516725 8033558.513415648, 575310.2711479063 8033591.005655874, 575315.235019438 8033625.4076471515)"
89503824,residential,False,False,40.636252347859134,,60,,,,,,"LINESTRING (575524.9395635199 8032176.558466472, 575494.6717060606 8032149.543987624)"
117214888,residential,False,True,130.8191881559499,,60,,Swaart Haak Street,,,,"LINESTRING (575524.9395635199 8032176.558466472, 575424.8098823727 8032260.462790934)"
142920330,residential,False,True,39.4959056161981,,60,,,,,,"LINESTRING (575524.9395635199 8032176.558466472, 575556.54121621 8032152.937858373)"
89503805,residential,False,False,395.2975582519942,,60,,,,,,"LINESTRING (574521.5177517516 8032812.291324544, 574298.5257250419 8033129.772715914, 574294.9830710592 8033134.809105847)"
89503833,residential,False,False,614.6220251784791,,60,,Wilgerboom Street,,,,"LINESTRING (574521.5177517516 8032812.291324544, 574639.2870767462 8032834.486761552, 574674.7568736676 8032841.169077592, 574853.0592220764 8032877.131966309, 574861.0633958667 8032880.354699549, 574870.8142464801 8032885.794757871, 574879.3231718194 8032893.574040878, 574986.2011924011 8033015.1762543805, 574994.4628862623 8033024.826277222, 575000.4887252585 8033031.840384884, 575023.2224536806 8033059.282371761, 575039.5252954408 8033079.103236627)"
